"Public Housing Units occupied by Black families in Hartford County, best available data for 1944-1945",,,,,,,,,,,,,
Town,Housing Project,Period,Design,Type,Units,Occupied,Black Occupied,Unoccupied,Pct Black Occupied,Pct Unoccupied,Code 1942HHA,Source,Notes
"NUL 1944: data collected September 1944 for Warren Banner, A Review of the Social and Economic Conditions of the Negro Population of Hartford, Connecticut (National Urban League, 1944), Tables 20, 21, 22: Housing Projects in Hartford, East Hartford, West Hartford, pages 29-33.",,,,,,,,,,,,,
"NHB 1945: data as of July 1945 for Florence Murray, ed., The Negro Handbook, 1946-47 (Current Books, Inc.), Table 4: List of Permanent Public Housing Projects Making Provision for Negro Tenants.",,,,,,,,,,,,,
"NHA 1944: data collected June 1944 for Table A: War Housing Programmed for or Occupied by Negro War Workers, National Housing Agency, @nationalhousingagencyWarHousingProgrammed1944",,,,,,,,,,,,,
"HHA 1942: Table: Public Low-Rent and War Housing--Hartford Area, in Hartford Housing Authority, Third Annual Report 1941-42, page 15.",,,,,,,,,,,,,
byrnesLanhamActHousing1950,,,,,,,,,,,,,
Hausmann 1998 ,,,,,,,,,,,,,
nationalhousingagencyLocalityConstructionTable1942,,,,,,,,,,,,,
otl-public-housing -- see README notes,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
POSTWAR additional projects,,,,,,,,,,,,,
Hartford,Barbour Street (temporary),postwar,,,,,,,,,,,
Hartford,Stonington Street (temporary),postwar,,,,,,,,,,,
Hartford,Rice Heights,1949-,,,416,,,,,,,opens 1 Sept 1949; extension opens 2 May 1951; moderate income,
Hartford,Bowles Park,1950-,,,410,,,,,,,opens 1 July 1950; moderate income,
Hartford,Westbrook Village,1951-,,,360,,,,,,,opens 7 Feb 1951; moderate income,
Hartford,Stowe Village,1953-,,,600,,,,,,,opens 25 Feb 1953; low income,
Hartford,Mahoney Village,1964-,,,50,,,,,,,opens 9 Jan 1963 OR 14 Oct 1964 for low-income elderly,
Hartford,Smith Towers,,,,200,,,,,,,elderly housing,
Hartford,Kent Apartments,,,,37,,,,,,,low-income housing,
Hartford,Mary Shepard Place (new Bellevue Sq?),,,,,,,,,,,,
Hartford,Betty Knox Apartments,,,,,,,,,,,,
Wethersfield,Highvue/Highview Homes,1947-,,,28,,,,,,,,
